Id,Name,Type,Content,Goal,Range,Spent,Days Active,Spent Per Day,Views,Cost Per 100 Individuals,Reach,Frequency,Link Clicks,Cost Per Click,Click Rate,Interactions,3s Views,Retention Rate,Reactions,Tickets Sold,Ticket Rate,imageFile
1,Superman,Meta,Video,Rendimiento,km25+ Cines,115.98,7,16.57,67821.00,0.21,54586.00,1.24,1408,0.08,2.08,28617,26826,39.55,348,,,Superman.png
2,Fantastic 4,Meta,Video,Rendimiento,km20+ Barce,120.56,5,24.11,93019,0.17,69720,1.33,2171,0.06,2.33,39383,36532,39.27,635,,,4Fantastic.png
3,Jurassic Worl,Meta,Video,Rendimiento,km30+ Barce,132.18,7,18.88,62606,0.22,59743,1.05,2078,0.06,3.32,22911,20549,32.82,241,,,JurassicW.png
4,4DX VERANO,Meta,Video,Rendimiento,42+mi Cines,174.97,7,25.00,172500,0.17,101600,1.70,2196,0.08,1.27,47164,44737,25.93,214,,,4dx.png
5,Regreso a futuro,Meta,Imagen,Rendimiento,56+mi,174.98,7,25.00,232600,0.12,149800,1.55,3800,0.05,1.63,4574,173,0.07,502,,,BTTF.png
6,4DX Verano 2,Meta,Video,Rendimiento,42+mi,80.00,4,20.00,90577,0.13,61001,1.48,3005,0.03,3.32,19862,18802,20.76,53,,,4dx.png
7,Tiburón,Meta,Imagen,Rendimiento,56+mi,174.79,7,24.97,196400,0.17,102500,1.92,2081,0.08,1.06,2516,50,0.03,345,,,Tiburon.png
8,4DX Verano 1,Meta,Video,Rendimiento,42+mi,174.97,7,25.00,172500,0.17,101600,1.70,2196,0.08,1.27,47264,44737,25.93,214,,,4dx.png
9,Regreso a futuro Delorian BCN,Meta,Video,Rendimiento,27+mi,249.99,10,25.00,284900,0.15,168000,1.70,6891,0.04,2.42,78267,70097,24.60,1142,,,BTTF.png
10,Polar Express,Meta,Video,Rendimiento,21+mi,179.93,9,19.99,121700,0.25,72625,1.68,2763,0.07,2.27,4065,206,0.17,226,,,polar.png
